Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_001_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_002_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_003_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_004_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_005_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_006_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_007_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_008_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_009_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_010_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_011_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_012_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_013_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_014_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_015_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_016_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_017_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_018_02_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_019_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_020_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_021_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_022_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_023_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_024_001_4pto.raw
A0A024RBG1	NUD4B_HUMAN	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	6.09018e+06	5.72729e+06	5.79447e+06	5.87161e+06	6.48881e+06	5.09932e+06	6.38728e+06	5.42971e+06	5.01213e+06	5.9032e+06	5.93094e+06	5.31072e+06	4.74762e+06	6.51131e+06	7.05206e+06	5.27123e+06	6.81087e+06	6.86008e+06	7.16255e+06	6.03426e+06	5.29444e+06	7.03621e+06	6.45362e+06	5.40494e+06
A0A096LP01	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	1.6958e+06	1.25317e+06	1.56925e+06	1.5725e+06	1.55408e+06	1.49011e+06	1.63943e+06	1.52004e+06	1.73891e+06	1.67603e+06	1.52744e+06	1.64962e+06	1.55064e+06	1.98445e+06	1.86656e+06	1.84383e+06	1.74397e+06	2.04694e+06	1.49261e+06	1.73956e+06	1.63103e+06	2.05776e+06	1.86812e+06	1.8173e+06
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3;GATD3B	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	2.39161e+07	2.17427e+07	2.12811e+07	2.6219e+07	2.557e+07	2.33705e+07	2.25716e+07	2.07625e+07	1.82061e+07	2.2696e+07	2.33146e+07	2.25142e+07	2.45316e+07	2.82455e+07	2.65962e+07	2.82131e+07	2.82196e+07	2.54221e+07	2.66409e+07	2.47752e+07	2.48485e+07	3.47073e+07	2.55248e+07	2.59224e+07
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	2.72969e+06	2.75247e+06	2.28207e+06	3.27473e+06	3.16271e+06	3.17126e+06	1.94503e+06	2.73131e+06	2.85986e+06	2.49604e+06	2.9315e+06	2.77279e+06	3.09873e+06	2.66439e+06	2.20789e+06	2.33975e+06	2.80935e+06	1.9725e+06	2.06213e+06	1.98396e+06	2.13484e+06	3.08711e+06	2.30428e+06	2.74725e+06
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1.35999e+06	1.12974e+06	1.12757e+06	1.08836e+06	982593	1.33524e+06	1.03128e+06	904720	1.26395e+06	1.30702e+06	969819	1.37976e+06	743537	1.27649e+06	1.25244e+06	1.24215e+06	1.37609e+06	1.04714e+06	783101	887180	868394	1.909e+06	823302	1.03862e+06
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	711919	651878	478535	691424	846650	547772	469149	496357	535708	750219	584712	616804	241132	969795	688110	442948	574930	265125	466421	439065	597008	1.17064e+06	567963	529944
A0A1W2PQ72	MSD7_HUMAN	MSANTD7	Myb/SANT-like DNA-binding domain-containing protein 7	55148.3	66846.1	53817.1	42023	61644.8	25145.7	30785.5	52242.2	28048	36839.2	40732.5	34256.2	32376.2	31181.4	29007.7	36797.3	37879.8	25532	54395.3	21193	30959.4	25725.2	36683.3	22820.9
A0A2Z4LIS9	FXO3B_HUMAN	FOXO3B	Forkhead box protein O3B	593144	642482	524078	647946		423248	831855		643561	775442	1.04602e+06		191072	566792	502387	855597	720410	608379	680554	339834		931096	919988	1.22951e+06
A0A3B3IRV3	MCTS2_HUMAN	MCTS2	Malignant T-cell-amplified sequence 2	15962	15297.6	20470.1	13635.8		27886.7	26182.1	11851.7	35405.5	34183.2	21801.4	24922.4	32965.8	18682.1	30918.5	27857.4	22117.1	27104		29015	32185.8	28823.1	22017	26209.3
A0AV02	S12A8_HUMAN	SLC12A8	Solute carrier family 12 member 8	75180.3		62151.8	110782		24423.3	53459.6		56263.7	44807.7	39045.3	44653.9	41458.1	102375	70491.3	43898.6	51332.6	29698.8	106532	53692.9	88672.6	59575.1	64751.2	63642.1
